Range,Total Shelves,Total Capacity,Available Inches,Occupied Inches,Percent Empty,Percent Full,Average Shelf Length For Each Range,LC Call # Start,,LC Call # Stop,Collection Type,,,,,,,,,,,1,AG,4
17b,70.00,2488.75,628.88,1859.88,25.27%,74.73%,35.55,D 228 .E4 1999,-,D 398 U54,Collection 1,,,,,,,,,,,,,
18a,77.00,2737.63,634.00,2103.63,23.16%,76.84%,35.55,D 399.7 .B8,-,D 511 D561 1926,Collection 1,,,,,,,,,,,,,
18b,77.00,2737.63,2013.13,724.50,73.54%,26.46%,35.55,D 511 .E78 1983,-,D 522.25 .G46 1979,Collection 2,,,,,,,,,,,,,
19a,77.00,2737.63,721.00,2016.63,26.34%,73.66%,35.55,D 522.25 .H66 1992,-,D 630 .D83 A3 2014,Collection 2,,,,,,,,,,,,,
19b,77.00,2737.63,666.00,2071.63,24.33%,75.67%,35.55,D 630 .G38 A3 2000,-,D 743 .Q52,Collection 2,,,,,,,,,,,,,
20a,77.00,2737.63,721.00,2016.63,26.34%,73.66%,35.55,D 743 .R33 T.1,-,D 763 .N6 C53 2001,Collection 2,,,,,,,,,,,,,
20b,77.00,2737.63,613.00,2124.63,22.39%,77.61%,35.55,D 763 .N6 H19 2010,-,D 769.31 92nd .J65 2012,Collection 2,,,,,,,,,,,,,
21a,77.00,2737.63,611.00,2126.63,22.32%,77.68%,35.55,D 769.31 100th .M44 2013,-,D 802 .S67 F4,Collection 2,,,,,,,,,,,,,
21b,77.00,2737.63,588.00,2149.63,21.48%,78.52%,35.55,D 802 S67 G7,-,D 805 .J3 K59,Collection 2,,,,,,,,,,,,,
22a,70.00,2488.75,544.00,1944.75,21.86%,78.14%,35.55,D 805 .J3 M324 2007,-,D 812 T687 G757a,Collection 2,,,,,,,,,,,,,
22b,70.00,2488.75,631.00,1857.75,25.35%,74.65%,35.55,D 810 T687 Sa9,-,D 843 Ar671,Collection 2,,,,,,,,,,,,,
23a,77.00,2737.63,728.00,2009.63,26.59%,73.41%,35.55,D 843 B235,-,D 1058 .B63 2005,Collection 2,,,,,,,,,,,,,
23b,77.00,2737.63,671.00,2066.63,24.51%,75.49%,35.55,D 1058 .B68 1972,-,DA 66 .L44 2011,Collection 2,,,,,,,,,,,,,
24a,76.00,2702.13,722.00,1980.13,26.72%,73.28%,35.55,DA 66 .L46 2001,-,DA 175 .M996 1971,Collection 2,,,,,,,,,,,,,
24b,77.00,2737.63,732.00,2005.63,26.74%,73.26%,35.55,DA 175 .N67 2009,-,DA 380 .L5 1950,Collection 2,,,,,,,,,,,,,
25a,77.00,2737.63,700.00,2037.63,25.57%,74.43%,35.55,DA 380 N844 copy2,-,DA 536 .S8 C48 1990,Collection 2,,,,,,,,,,,,,
25b,77.00,2737.63,732.00,2005.63,26.74%,73.26%,35.55,DA 536 .S89 C86 1993 v.1,-,DA 591 .M393 A3 2013x,Collection 3,,,,,,,,,,,,,
26a,73.00,2595.56,770.50,1825.06,29.69%,70.31%,35.56,DA 591 .M494 A3 2005,-,DA 676.9 .G47 B37 2005,Collection 3,,,,,,,,,,,,,
26b,77.00,2737.63,930.50,1807.13,33.99%,66.01%,35.55,DA 676.9 .G47 B75 2010,-,DA 783.3 .M9 2003,Collection 3,,,,,,,,,,,,,
27a,70.00,2488.75,683.00,1805.75,27.44%,72.56%,35.55,DA 783.3 .R44 1996,-,DA 916.3 Of4L v.2,Collection 3,,,,,,,,,,,,,
27b,70.00,2488.75,655.00,1833.75,26.32%,73.68%,35.55,DA 916.3 .T46 F66 2017,-,DA 950 .M87 1898,Collection 3,,,,,,,,,,,,,
28a,77.00,2737.63,829.00,1908.63,30.28%,69.72%,35.55,DA 950 .M873 2003,-,DA 963 .S63 2006,Collection 3,,,,,,,,,,,,,
28b,77.00,2737.63,792.00,1945.63,28.93%,71.07%,35.55,DA 963 .S697 1974,-,DA 990 .D7 S93 1940,Collection 3,,,,,,,,,,,,,
29a,77.00,2737.63,849.50,1888.13,31.03%,68.97%,35.55,DA 990 D716 G996h,-,DA 995 .C7 2013,Collection 3,,,,,,,,,,,,,
29b,77.00,2737.63,633.00,2104.63,23.12%,76.88%,35.55,DA 995 .C7 A76 2005,-,DB 90 C586 H6,Collection 2,,,,,,,,,,,,,
30a,77.00,2737.63,633.50,2104.13,23.14%,76.86%,35.55,DB 90 .C8 D45 1997,-,DB 2178 .D38 2007,Collection 2,,,,,,,,,,,,,
30b,77.00,2737.63,772.00,1965.63,28.20%,71.80%,35.55,DB 2178 .L46 2017,-,DC 82 .G64 2007,Collection 2,,,,,,,,,,,,,
31a,70.00,2488.75,675.00,1813.75,27.12%,72.88%,35.55,DC 82 .G767 1995,-,DC 146 .B756 B35 2000,Collection 2,,,,,,,,,,,,,
31b,70.00,2488.75,733.00,1755.75,29.45%,70.55%,35.55,DC 146 .B757 K54 1981,-,DC 255 .T3 K45 2017,Collection 2,,,,,,,,,,,,,
32a,77.00,2737.63,712.50,2025.13,26.03%,73.97%,35.55,DC 255 .T3 L39 2007,-,DC 611 .B531 C34 no 235/236,Collection 2,,,,,,,,,,,,,
32b,77.00,2737.63,634.50,2103.13,23.18%,76.82%,35.55,DC 611 .B532 M3,-,DD 43 .S65 1946,Collection 2,,,,,,,,,,,,,
33a,77.00,2737.63,653.50,2084.13,23.87%,76.13%,35.55,DD 51 .A44 2004,-,DD 218 .S28 1972,Collection 2,,,,,,,,,,,,,
33b,77.00,2737.63,602.50,2135.13,22.01%,77.99%,35.55,DD 218 .S45,-,DD 253.25 .P74 1993,Collection 2,,,,,,,,,,,,,
34a,77.00,2737.63,785.00,1952.63,28.67%,71.33%,35.55,DD 253.25 .S27 1957,-,DD 283 .F85 1995,Collection 2,,,,,,,,,,,,,
34b,77.00,2737.63,781.00,1956.63,28.53%,71.47%,35.55,DD 283 .G46 1999 Bd.1,-,DD 901 .C745 N38 1997,Collection 2,,,,,,,,,,,,,
35a,77.00,2737.63,663.00,2074.63,24.22%,75.78%,35.55,DD 901 .C745 S54 1970,-,DF 10 B936 v.19 1895,Collection 2,,,,,,,,,,,,,
35b,77.00,2737.63,567.50,2170.13,20.73%,79.27%,35.55,DF 10 B936 v.20 1896,-,DF 234 .V475 2004,Collection 2,,,,,,,,,,,,,
36a,70.00,2488.75,540.00,1948.75,21.70%,78.30%,35.55,DF 234 .W553 2009,-,DF 543 .S89 2008,Collection 2,,,,,,,,,,,,,
